date,avg_temp,avg_humidity,total_rainfall,avg_pressure,risk
2015-09-27,24.291666666666668,77.75,19.8,1009.5416666666666,1
2015-09-28,23.833333333333332,77.29166666666667,5.1,1009.0,1
2015-09-29,23.583333333333332,77.875,0.7,1009.0416666666666,0
2015-09-30,23.375,79.95833333333333,2.0,1010.625,0
2015-10-01,23.458333333333332,81.91666666666667,7.1,1011.6666666666666,1
2015-10-02,23.625,80.33333333333333,0.0,1012.9583333333334,0
2015-10-03,23.458333333333332,78.875,0.1,1013.4166666666666,0
2015-10-04,22.875,88.625,4.3,1013.0833333333334,1
2015-10-05,21.5,91.58333333333333,2.6,1012.0416666666666,1
2015-10-06,22.416666666666668,79.20833333333333,0.5,1010.2916666666666,0
2015-10-07,23.333333333333332,77.29166666666667,1.8,1010.5833333333334,0
2015-10-08,23.041666666666668,80.0,0.8,1010.9166666666666,0
2015-10-09,22.791666666666668,80.54166666666667,0.0,1011.125,0
2015-10-10,23.416666666666668,76.08333333333333,0.7,1011.75,1
2015-10-11,23.666666666666668,78.54166666666667,10.299999999999999,1013.0833333333334,1
2015-10-12,24.0,68.125,0.5,1013.5,0
2015-10-13,23.291666666666668,62.5,0.0,1013.2083333333334,0
2015-10-14,22.958333333333332,57.125,0.0,1013.7916666666666,0
2015-10-15,23.125,60.125,0.0,1013.25,0
2015-10-16,23.541666666666668,65.375,0.0,1013.3333333333334,0
2015-10-17,23.458333333333332,73.08333333333333,0.0,1013.625,0
2015-10-18,23.875,71.58333333333333,0.0,1014.2916666666666,0
2015-10-19,23.5,71.25,0.0,1013.75,0
2015-10-20,23.833333333333332,71.95833333333333,0.0,1012.375,0
2015-10-21,23.333333333333332,74.29166666666667,0.0,1012.0,0
2015-10-22,22.666666666666668,61.25,0.0,1012.7916666666666,0
2015-10-23,23.708333333333332,51.166666666666664,0.0,1012.2916666666666,0
2015-10-24,24.083333333333332,65.70833333333333,9.1,1011.4583333333334,0
2015-10-25,23.125,68.625,0.0,1013.25,0
2015-10-26,21.958333333333332,75.54166666666667,0.0,1014.0416666666666,0
